fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
1149523,C. Turpin,UTC,2024-03-12T20:00:00+00:00,1710273600,1710273600,1710277200,494.0,Emirates Stadium,London,Match Finished,PEN,120,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Round of 16,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,True,212,FC Porto,https://media.api-sports.io/football/teams/212.png,False,1,0,1,0,1,0,0.0,0.0,4.0,2.0
1149525,D. Makkelie,UTC,2024-03-12T20:00:00+00:00,1710273600,1710273600,1710277200,19939.0,Estadi Olímpic Lluís Companys,Barcelona,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Round of 16,True,529,Barcelona,https://media.api-sports.io/football/teams/529.png,True,492,Napoli,https://media.api-sports.io/football/teams/492.png,False,3,1,2,1,3,1,,,,
1149521,D. Orsato,UTC,2024-03-13T20:00:00+00:00,1710360000,1710360000,1710363600,19381.0,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Round of 16,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png,False,2,0,1,0,2,0,,,,
1149519,S. Marciniak,UTC,2024-03-13T20:00:00+00:00,1710360000,1710360000,1710363600,19217.0,Estádio Cívitas Metropolitano,Madrid,Match Finished,PEN,120,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Round of 16,True,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,True,505,Inter,https://media.api-sports.io/football/teams/505.png,False,2,1,1,1,2,1,0.0,0.0,3.0,2.0
1184777,G. Nyberg,UTC,2024-04-09T19:00:00+00:00,1712689200,1712689200,1712692800,494.0,Emirates Stadium,London,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,,2,2,1,2,2,2,,,,
1184779,F. Letexier,UTC,2024-04-09T19:00:00+00:00,1712689200,1712689200,1712692800,1456.0,Estadio Santiago Bernabéu,Madrid,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,50,Manchester City,https://media.api-sports.io/football/teams/50.png,,3,3,2,1,3,3,,,,
1184783,A. Taylor,UTC,2024-04-10T19:00:00+00:00,1712775600,1712775600,1712779200,671.0,Parc des Princes,Paris,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,False,529,Barcelona,https://media.api-sports.io/football/teams/529.png,True,2,3,0,1,2,3,,,,
1184781,M. Guida,UTC,2024-04-10T19:00:00+00:00,1712775600,1712775600,1712779200,19217.0,Estádio Cívitas Metropolitano,Madrid,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,False,2,1,2,0,2,1,,,,
1184782,S. Vinčić,UTC,2024-04-16T19:00:00+00:00,1713294000,1713294000,1713297600,19381.0,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,False,4,2,2,0,4,2,,,,
1184784,I. Kovacs,UTC,2024-04-16T19:00:00+00:00,1713294000,1713294000,1713297600,19939.0,Estadi Olímpic Lluís Companys,Barcelona,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,529,Barcelona,https://media.api-sports.io/football/teams/529.png,False,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,True,1,4,1,1,1,4,,,,
1184780,D. Orsato,UTC,2024-04-17T19:00:00+00:00,1713380400,1713380400,1713384000,555.0,Etihad Stadium,Manchester,Match Finished,PEN,120,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,50,Manchester City,https://media.api-sports.io/football/teams/50.png,False,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,True,1,1,0,1,1,1,0.0,0.0,3.0,4.0
1184778,D. Makkelie,UTC,2024-04-17T19:00:00+00:00,1713380400,1713380400,1713384000,700.0,Allianz Arena,München,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Quarter-finals,True,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,False,1,0,0,0,1,0,,,,
1196543,C. Turpin,UTC,2024-04-30T19:00:00+00:00,1714503600,1714503600,1714507200,700.0,Allianz Arena,München,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Semi-finals,True,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,,2,2,0,1,2,2,,,,
1196501,A. Taylor,UTC,2024-05-01T19:00:00+00:00,1714590000,1714590000,1714593600,19381.0,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Semi-finals,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,False,1,0,1,0,1,0,,,,
1196502,D. Orsato,UTC,2024-05-07T19:00:00+00:00,1715108400,1715108400,1715112000,671.0,Parc des Princes,Paris,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Semi-finals,True,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,False,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,0,1,0,0,0,1,,,,
1196544,S. Marciniak,UTC,2024-05-08T19:00:00+00:00,1715194800,1715194800,1715198400,1456.0,Estadio Santiago Bernabéu,Madrid,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Semi-finals,True,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,True,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,False,2,1,0,0,2,1,,,,
1199389,S. Vinčić,UTC,2024-06-01T19:00:00+00:00,1717268400,1717268400,1717272000,489.0,Wembley Stadium,London,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Final,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,False,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,True,0,2,0,0,0,2,,,,
