offsides,games.minutes,games.number,games.position,games.rating,games.captain,games.substitute,shots.total,shots.on,goals.total,goals.conceded,goals.assists,goals.saves,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,dribbles.past,fouls.drawn,fouls.committed,cards.yellow,cards.red,penalty.won,penalty.commited,penalty.scored,penalty.missed,penalty.saved,player.id,player.name,fixture.id
,90.0,25,G,7,False,False,,,,0,,,25.0,,24,,,,,,,,,,,0,0,,,0,0,0.0,2273,Kepa Arrizabalaga,1126153
,90.0,17,D,8.2,False,False,,,,0,,,79.0,6.0,72,1.0,,,5.0,1.0,1.0,,1.0,,2.0,0,0,,,0,0,,757,Lucas Vázquez,1126153
,90.0,22,D,7.7,False,False,1.0,,,0,,,82.0,,74,1.0,1.0,1.0,9.0,8.0,,,,2.0,,0,0,,,0,0,,2285,Antonio Rüdiger,1126153
,73.0,6,D,7,True,False,1.0,,,0,,,85.0,,80,,,1.0,4.0,2.0,,,,,,0,0,,,0,0,,735,Nacho Fernández,1126153
,90.0,4,D,7.2,False,False,2.0,,,0,,,75.0,1.0,69,,,1.0,4.0,1.0,4.0,1.0,,,,0,0,,,0,0,,505,David Alaba,1126153
,81.0,10,M,8.3,False,False,1.0,1.0,,0,,,75.0,5.0,70,,,,3.0,2.0,1.0,,,2.0,,0,0,,,0,0,,754,Luka Modrić,1126153
,66.0,18,M,7.3,False,False,2.0,,,0,,,82.0,1.0,77,3.0,,1.0,6.0,5.0,,,,,1.0,1,0,,,0,0,,1271,Aurélien Tchouaméni,1126153
,66.0,12,M,7.6,False,False,1.0,,,0,,,86.0,4.0,80,1.0,,1.0,6.0,4.0,1.0,1.0,,2.0,2.0,0,0,,,0,0,,2207,Eduardo Camavinga,1126153
,90.0,5,M,8.2,False,False,3.0,1.0,1.0,0,,,66.0,3.0,59,1.0,,,13.0,5.0,1.0,,,3.0,3.0,0,0,,,0,0,,129718,Jude Bellingham,1126153
2.0,90.0,14,F,7.6,False,False,8.0,3.0,,0,,,22.0,2.0,18,,,,8.0,5.0,,,,,,0,0,,,0,0,,18907,Joselu,1126153
1.0,90.0,11,F,6.7,False,False,3.0,2.0,,0,,,44.0,3.0,40,,,,8.0,4.0,4.0,3.0,,1.0,,0,0,,,0,0,,10009,Rodrygo,1126153
,24.0,8,M,7.2,False,True,,,,0,,,47.0,3.0,45,,,,1.0,,,,1.0,,,0,0,,,0,0,,752,Toni Kroos,1126153
,24.0,15,M,6.9,False,True,,,,0,,,27.0,,26,,,,2.0,1.0,1.0,1.0,,,,0,0,,,0,0,,756,Federico Valverde,1126153
,17.0,20,D,6.6,False,True,,,,0,,,12.0,,12,,,,1.0,1.0,,,,,,0,0,,,0,0,,736,Fran García,1126153
1.0,9.0,21,M,6.9,False,True,,,,0,,,6.0,1.0,4,,,,1.0,1.0,,,,1.0,,0,0,,,0,0,,744,Brahim Díaz,1126153
,,13,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,47400,Andriy Lunin,1126153
,,31,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,206260,Lucas Cañizares,1126153
,,23,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,653,Ferland Mendy,1126153
,,36,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,279792,Vinícius Tobías,1126153
,,19,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,748,Dani Ceballos,1126153
,,33,F,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,336711,Gonzalo García,1126153
,90.0,1,G,8.2,False,False,,,,1,,6.0,36.0,,17,,,,1.0,1.0,,,,1.0,,0,0,,,0,0,0.0,1798,Frederik Rønnow,1126153
,90.0,5,D,7.3,False,False,,,,0,,,24.0,,19,4.0,2.0,1.0,11.0,7.0,,,,2.0,,0,0,,,0,0,,37117,Danilho Doekhi,1126153
,80.0,23,D,7.2,False,False,,,,0,,,26.0,,19,1.0,2.0,,1.0,1.0,,,,,,0,0,,,0,0,,853,Leonardo Bonucci,1126153
,90.0,4,D,7,False,False,,,,0,,,31.0,,23,2.0,2.0,1.0,7.0,3.0,,,2.0,1.0,2.0,0,0,,,0,0,,376,Diogo Leite,1126153
,90.0,18,M,6.9,False,False,,,,0,,,20.0,1.0,10,2.0,,1.0,4.0,3.0,,,1.0,1.0,,0,0,,,0,0,,14330,Josip Juranović,1126153
,90.0,33,M,6.9,False,False,,,,0,,,29.0,,24,2.0,1.0,1.0,9.0,4.0,,,1.0,1.0,3.0,0,0,,,0,0,,1234,Alex Král,1126153
,83.0,29,M,6.5,False,False,,,,0,,,24.0,,17,1.0,,,4.0,1.0,1.0,,,,2.0,1,0,,,0,0,,664,Lucas Tousart,1126153
,66.0,20,M,6.5,False,False,,,,0,,,17.0,,10,,,,6.0,3.0,4.0,1.0,,2.0,,0,0,,,0,0,,43246,Aissa Laïdouni,1126153
,90.0,6,M,6.9,False,False,1.0,,,0,,,25.0,,17,1.0,,2.0,5.0,4.0,1.0,,,,,0,0,,,0,0,,30422,Robin Gosens,1126153
,80.0,27,F,6.7,True,False,,,,0,,,10.0,1.0,8,,,,2.0,,,,,,2.0,0,0,,,0,0,,37938,Sheraldo Becker,1126153
1.0,66.0,17,F,6.9,False,False,2.0,,,0,,,7.0,1.0,6,1.0,1.0,,11.0,1.0,,,,,1.0,0,0,,,0,0,,25192,Kevin Behrens,1126153
,24.0,7,M,6.7,False,True,,,,0,,,5.0,,3,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,,,0,0,,50739,Brenden Aaronson,1126153
,24.0,10,F,6.2,False,True,,,,0,,,3.0,,2,,,,4.0,,,,2.0,,,0,0,,,0,0,,989,Kevin Volland,1126153
,10.0,3,D,6.3,False,True,,,,0,,,3.0,,1,,1.0,,2.0,1.0,,,,,,0,0,,,0,0,,25147,Paul Jaeckel,1126153
,10.0,11,F,6.3,False,True,,,,0,,,2.0,,1,,,,2.0,1.0,,,,,,0,0,,,0,0,,291476,David Datro Fofana,1126153
,13.0,36,M,6.2,False,True,,,,0,,,1.0,,1,,,,1.0,,,,,,1.0,0,0,,,0,0,,327831,Aljoscha Kemlein,1126153
,,37,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,26234,Alexander Schwolow,1126153
,,39,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,286728,Yannic Stein,1126153
,,26,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,25404,Jérôme Roussillon,1126153
,,28,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,24848,Christopher Trimmel,1126153
,90.0,1,G,6.3,False,False,,,,3,,3.0,20.0,,19,,,,,,,,,,,0,0,,,0,0,0.0,312,Alex Meret,1126166
,90.0,22,D,6.7,True,False,,,,0,,,56.0,,49,4.0,,,11.0,5.0,,,2.0,,1.0,0,0,,,0,0,,31042,Giovanni Di Lorenzo,1126166
,90.0,55,D,7.9,False,False,3.0,2.0,1.0,0,,,46.0,2.0,42,1.0,3.0,1.0,12.0,8.0,,,1.0,1.0,1.0,0,0,,,0,0,,18967,Leo Østigård,1126166
,90.0,3,D,7.3,False,False,1.0,,,0,,,69.0,,62,2.0,5.0,2.0,5.0,4.0,,,,,1.0,1,0,,,0,0,,195100,Natan,1126166
,88.0,17,D,6.9,False,False,,,,0,,,52.0,1.0,48,2.0,1.0,2.0,6.0,3.0,1.0,,,1.0,,0,0,,,0,0,,47254,Mathías Olivera,1126166
,88.0,99,M,6.3,False,False,1.0,,,0,,,46.0,1.0,44,3.0,,,16.0,4.0,2.0,1.0,3.0,,1.0,0,0,,,0,0,,3406,Frank Anguissa,1126166
,88.0,68,M,6.9,False,False,,,,0,,,66.0,1.0,63,2.0,,2.0,7.0,3.0,1.0,,1.0,1.0,1.0,0,0,,,0,0,,47439,Stanislav Lobotka,1126166
,75.0,20,M,7.5,False,False,2.0,2.0,1.0,0,,,43.0,2.0,39,,,,1.0,,1.0,,,,,0,0,,,1,0,,329,Piotr Zieliński,1126166
,70.0,21,F,7.2,False,False,2.0,2.0,,0,,,28.0,2.0,23,1.0,,,9.0,3.0,,,1.0,2.0,1.0,0,0,,,0,0,,219,Matteo Politano,1126166
,90.0,9,F,6.2,False,False,1.0,1.0,,0,,,8.0,2.0,8,,,,16.0,4.0,2.0,,,2.0,2.0,0,0,,,0,0,,2780,Victor Osimhen,1126166
,90.0,77,F,7.3,False,False,1.0,,,0,,,37.0,3.0,31,1.0,,1.0,16.0,7.0,5.0,4.0,1.0,2.0,,0,0,,,0,0,,483,Khvicha Kvaratskhelia,1126166
,20.0,7,M,6.7,False,True,,,,0,,,17.0,,14,,,,1.0,1.0,1.0,1.0,,,,0,0,,,0,0,,1358,Eljif Elmas,1126166
,15.0,81,F,6.5,False,True,,,,0,,,8.0,,6,,,,1.0,,,,,,,0,0,,,0,0,,30543,Giacomo Raspadori,1126166
,2.0,6,D,,False,True,,,,0,,,3.0,,3,,,,2.0,,,,2.0,,,0,0,,,0,0,,322,Mário Rui,1126166
,2.0,24,M,,False,True,,,,0,,,5.0,,5,,,,,,,,,,,0,0,,,0,0,,15797,Jens Cajuste,1126166
,2.0,18,F,,False,True,,,,0,,,2.0,,1,,,,2.0,1.0,,,,1.0,1.0,0,0,,,0,0,,30414,Giovanni Simeone,1126166
,,14,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,32172,Nikita Contini,1126166
,,16,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,134434,Hubert Idasiak,1126166
,,50,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,384413,Luigi D'Avino,1126166
,,59,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,162907,Alessandro Zanoli,1126166
,,70,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,325,Gianluca Gaetano,1126166
,,29,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,15884,Jesper Lindstrøm,1126166
,,23,F,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,31219,Alessio Zerbin,1126166
,90.0,25,G,7.2,False,False,,,,2,,5.0,29.0,,22,,,,2.0,2.0,,,,,,1,0,,,0,0,0.0,2273,Kepa Arrizabalaga,1126166
1.0,90.0,2,D,6.3,False,False,,,,0,,,46.0,1.0,37,2.0,,,12.0,5.0,1.0,1.0,1.0,,3.0,0,0,,,0,0,,733,Daniel Carvajal,1126166
,90.0,6,D,6.5,True,False,,,,0,,,48.0,2.0,43,2.0,1.0,1.0,8.0,4.0,,,2.0,1.0,1.0,0,0,,1.0,0,0,,735,Nacho Fernández,1126166
,90.0,22,D,7.2,False,False,,,,0,,,48.0,,42,1.0,4.0,,8.0,6.0,1.0,1.0,,1.0,1.0,0,0,,,0,0,,2285,Antonio Rüdiger,1126166
,64.0,12,D,6.9,False,False,,,,0,1.0,,38.0,1.0,37,2.0,,1.0,8.0,6.0,3.0,2.0,,1.0,1.0,1,0,,,0,0,,2207,Eduardo Camavinga,1126166
,90.0,15,M,7.6,False,False,1.0,1.0,,0,,,44.0,1.0,40,4.0,,2.0,10.0,7.0,2.0,1.0,1.0,,,0,0,,,0,0,,756,Federico Valverde,1126166
,90.0,18,M,7.2,False,False,1.0,,,0,,,65.0,,61,1.0,1.0,,7.0,7.0,,,,,,0,0,,,0,0,,1271,Aurélien Tchouaméni,1126166
,65.0,8,M,7.2,False,False,,,,0,,,52.0,3.0,50,1.0,,,2.0,1.0,,,,,1.0,0,0,,,0,0,,752,Toni Kroos,1126166
,90.0,5,M,9.2,False,False,2.0,1.0,1.0,0,1.0,,55.0,4.0,51,4.0,1.0,2.0,11.0,8.0,4.0,3.0,,,1.0,1,0,,,0,0,,129718,Jude Bellingham,1126166
,75.0,11,F,6.3,False,False,1.0,1.0,,0,,,22.0,1.0,22,1.0,,,6.0,2.0,1.0,,1.0,1.0,,0,0,,,0,0,,10009,Rodrygo,1126166
,84.0,7,F,7.7,False,False,4.0,2.0,1.0,0,,,25.0,,19,2.0,,,16.0,8.0,7.0,3.0,,3.0,2.0,0,0,,,0,0,,762,Vinícius Júnior,1126166
,26.0,23,D,6.9,False,True,,,,0,,,17.0,,15,1.0,,,4.0,3.0,,,,1.0,1.0,0,0,,,0,0,,653,Ferland Mendy,1126166
,25.0,10,M,6.7,False,True,,,,0,,,21.0,,18,1.0,,,3.0,1.0,,,,,,0,0,,,0,0,,754,Luka Modrić,1126166
,15.0,14,F,6.7,False,True,,,,0,,,3.0,,3,1.0,,,5.0,2.0,,,,,,0,0,,,0,0,,18907,Joselu,1126166
,6.0,19,M,,False,True,,,,0,,,2.0,,,,,,3.0,,,,1.0,,1.0,0,0,,,0,0,,748,Dani Ceballos,1126166
,,13,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,47400,Andriy Lunin,1126166
,,31,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,206260,Lucas Cañizares,1126166
,,20,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,736,Fran García,1126166
,,34,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,237174,Álvaro Carrillo,1126166
,,17,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,757,Lucas Vázquez,1126166
,,21,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,744,Brahim Díaz,1126166
,90.0,1,G,7.3,False,False,,,,2,,4.0,26.0,,20,,,,1.0,1.0,,,,,,0,0,,,0,0,0.0,41089,Matheus,1126181
,73.0,17,D,6.5,False,False,,,,0,,,26.0,1.0,20,1.0,,,2.0,1.0,,,,,1.0,0,0,,,0,0,,310029,Josafat Mendes,1126181
,90.0,5,D,6.3,False,False,,,,0,,,45.0,,42,5.0,,1.0,7.0,5.0,,,2.0,,,0,0,,,0,0,,286839,Serdar Saatçı,1126181
,90.0,4,D,6.9,False,False,,,,0,,,50.0,,44,2.0,,,7.0,6.0,,,,2.0,,0,0,,,0,0,,20884,Sikou Niakaté,1126181
,90.0,26,D,6.7,False,False,,,,0,,,38.0,1.0,36,2.0,,,3.0,2.0,,,,,,0,0,,,0,0,,1476,Cristián Borja,1126181
,66.0,18,M,6.9,False,False,1.0,,,0,,,48.0,2.0,48,1.0,,,4.0,3.0,1.0,,,,,0,0,,,0,0,,9355,Vítor Carvalho,1126181
,78.0,8,M,6.9,False,False,1.0,,,0,,,69.0,,61,2.0,,,7.0,3.0,1.0,,2.0,1.0,,0,0,,,0,0,,42006,Mutassim Al Musrati,1126181
,90.0,21,M,7.3,True,False,4.0,1.0,,0,,,37.0,1.0,35,1.0,,1.0,6.0,3.0,1.0,1.0,1.0,1.0,,0,0,,,0,0,,41103,Ricardo Horta,1126181
,90.0,16,M,7.6,False,False,,,,0,,,53.0,4.0,47,3.0,1.0,,12.0,7.0,3.0,2.0,1.0,1.0,2.0,0,0,,,0,0,,108563,Rodrigo Zalazar,1126181
2.0,90.0,14,M,7.9,False,False,1.0,1.0,1.0,0,,,17.0,4.0,14,2.0,,,15.0,8.0,4.0,2.0,1.0,3.0,2.0,0,0,,,0,0,,190489,Álvaro Djaló,1126181
,67.0,23,F,7.5,False,False,2.0,1.0,,0,1.0,,8.0,1.0,4,,,,10.0,5.0,2.0,1.0,,2.0,1.0,0,0,,,0,0,,20674,Simon Banza,1126181
,24.0,7,F,6.6,False,True,,,,0,,,16.0,,16,,,,,,,,,,,0,0,,,0,0,,1163,Bruma,1126181
,23.0,9,F,6.7,False,True,1.0,,,0,,,4.0,,3,,,,1.0,,,,,,,0,0,,,0,0,,155,Abel Ruíz,1126181
,17.0,47,D,6.5,False,True,1.0,,,0,,,16.0,,9,,,,1.0,,,,,,,0,0,,,0,0,,330294,Diogo Fonseca,1126181
,12.0,28,M,7,False,True,,,,0,,,22.0,,22,,,,4.0,2.0,2.0,2.0,,,1.0,0,0,,,0,0,,2677,João Moutinho,1126181
,,91,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,269349,Lukáš Horníček,1126181
,,19,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,47358,Adrián Marín,1126181
,,6,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2675,José Fonte,1126181
,,15,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,47383,Paulo Oliveira,1126181
,,88,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,50178,André Castro,1126181
,,10,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,51036,André Horta,1126181
,,22,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,572,Pizzi,1126181
,,20,F,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,111,Rony Lopes,1126181
,90.0,25,G,7,False,False,,,,1,,2.0,34.0,,29,,,,,,,,,,,0,0,,,0,0,0.0,2273,Kepa Arrizabalaga,1126181
,90.0,2,D,6.6,False,False,1.0,,,0,,,38.0,1.0,29,4.0,,,8.0,5.0,,,,,1.0,0,0,,,0,0,,733,Daniel Carvajal,1126181
,90.0,22,D,6.9,False,False,2.0,1.0,,0,,,63.0,,58,,1.0,,3.0,2.0,,,,,,0,0,,,0,0,,2285,Antonio Rüdiger,1126181
,90.0,6,D,6.9,True,False,,,,0,,,63.0,,61,,1.0,,7.0,1.0,,,,,2.0,1,0,,,0,0,,735,Nacho Fernández,1126181
,75.0,20,D,6.9,False,False,,,,0,,,47.0,1.0,45,,,,4.0,1.0,1.0,1.0,1.0,,,0,0,,,0,0,,736,Fran García,1126181
,90.0,15,M,6.9,False,False,1.0,,,0,,,46.0,1.0,45,,,2.0,4.0,,,,2.0,,,0,0,,,0,0,,756,Federico Valverde,1126181
,90.0,12,M,8,False,False,2.0,1.0,,0,,,63.0,,61,7.0,2.0,1.0,22.0,13.0,2.0,1.0,2.0,4.0,5.0,1,0,,,0,0,,2207,Eduardo Camavinga,1126181
,90.0,10,M,7.6,False,False,,,,0,,,74.0,7.0,73,,,,6.0,3.0,1.0,1.0,,2.0,1.0,0,0,,,0,0,,754,Luka Modrić,1126181
,89.0,5,M,8,False,False,2.0,2.0,1.0,0,,,50.0,1.0,40,1.0,1.0,2.0,3.0,2.0,,,,1.0,,0,0,,,0,0,,129718,Jude Bellingham,1126181
1.0,71.0,11,F,6.9,False,False,2.0,1.0,1.0,0,,,16.0,,15,,,,7.0,1.0,3.0,,,,2.0,0,0,,,0,0,,10009,Rodrygo,1126181
5.0,90.0,7,F,7.3,False,False,2.0,1.0,,0,1.0,,31.0,1.0,26,,,,12.0,4.0,8.0,4.0,1.0,,,0,0,,,0,0,,762,Vinícius Júnior,1126181
,19.0,18,M,6.3,False,True,,,,0,,,10.0,,7,,,1.0,4.0,2.0,,,2.0,,,0,0,,,0,0,,1271,Aurélien Tchouaméni,1126181
,15.0,23,D,6.3,False,True,,,,0,,,1.0,,1,,,,,,,,,,,0,0,,,0,0,,653,Ferland Mendy,1126181
,1.0,17,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,757,Lucas Vázquez,1126181
,,13,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,47400,Andriy Lunin,1126181
,,26,G,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,334575,Diego Piñeiro,1126181
,,4,D,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,505,David Alaba,1126181
,,8,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,752,Toni Kroos,1126181
,,21,M,,False,True,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,744,Brahim Díaz,1126181
,90.0,13,G,8.3,False,False,,,,0,,4.0,18.0,,16,,,,,,,,,,,0,0,,,0,0,1.0,47400,Andriy Lunin,1126206
,74.0,17,D,6.6,False,False,,,,0,1.0,,32.0,2.0,27,,,,2.0,1.0,1.0,1.0,,,2.0,1,0,,1.0,0,0,,757,Lucas Vázquez,1126206
,90.0,22,D,7.2,False,False,1.0,,,0,,,54.0,1.0,51,2.0,,1.0,7.0,3.0,1.0,,1.0,,1.0,0,0,,,0,0,,2285,Antonio Rüdiger,1126206
,90.0,6,D,7.2,True,False,1.0,1.0,,0,,,53.0,,50,2.0,,1.0,8.0,5.0,,,1.0,1.0,,0,0,,,0,0,,735,Nacho Fernández,1126206
,84.0,23,D,6.9,False,False,,,,0,,,52.0,,50,,,,2.0,,,,1.0,,,0,0,,,0,0,,653,Ferland Mendy,1126206
,77.0,15,M,7.7,False,False,2.0,,,0,,,42.0,,40,3.0,1.0,2.0,9.0,6.0,2.0,2.0,1.0,,,0,0,,,0,0,,756,Federico Valverde,1126206
,90.0,12,M,7,False,False,,,,0,,,46.0,,37,4.0,1.0,2.0,23.0,11.0,5.0,4.0,4.0,1.0,5.0,0,0,,,0,0,,2207,Eduardo Camavinga,1126206
1.0,90.0,8,M,7.3,False,False,,,,0,,,86.0,4.0,83,2.0,,,5.0,3.0,,,1.0,1.0,,0,0,,,0,0,,752,Toni Kroos,1126206
,74.0,21,M,7.5,False,False,2.0,2.0,1.0,0,,,40.0,2.0,34,1.0,,,14.0,5.0,7.0,3.0,,1.0,1.0,0,0,,,0,0,,744,Brahim Díaz,1126206
,77.0,11,F,9.2,False,False,4.0,3.0,1.0,0,1.0,,27.0,1.0,24,,,1.0,6.0,5.0,2.0,2.0,1.0,2.0,,0,0,,,0,0,,10009,Rodrygo,1126206
